"reviewer","authortype","logsales_10wk_cor","logsales_total_cor","rev_sd","rev_median","median_logsale_total","median_logsale_10wk","numscore"
"kelanflyter","user",1,1,3.2659863237109,9,12.825268311707,11.9057521876396,13
"BudMan","user",0.994109007057424,0.955386989341025,3.48308313593979,4,13.8155115579638,12.1848285798607,14
"Naglfar","user",0.97636719573896,0.859038130805132,1.57765997255777,8,12.5061809416774,11.1390171617663,14
"SGRevan","user",0.881612078596683,0.872509793337192,1.22102788293679,8,14.2972510254061,13.3024797934558,11
"partyintheback","user",0.852153094859679,0.842117219695435,2.77979724571285,9,12.1724734845734,11.281124210232,12
"SwitSwat","user",0.833542249419533,0.66728941221775,1.69829635997837,9,13.6337339065413,12.414764506336,20
"Jacktheripper99","user",0.82270384011341,0.709843780798382,2.21153998175685,6,12.9468773875799,11.7151323514614,11
"AlexH.","user",0.820481106531826,0.880742444755823,2.27469611690055,9,13.5511019210293,12.0442475256144,12
"limelight","user",0.816508797067877,0.781906572781943,3.3844564489066,8,12.4654734112778,10.969579837774,11
"MrMushroom","user",0.805337002114444,0.987492028116392,3.3262745773767,9,14.0466230725781,12.4008043765675,13
"MichaelR.","user",0.785674835018724,0.35530792692768,1.52388392675499,8,14.1524934750289,12.7664824682405,10
"vgmkyle","user",0.781109858584382,0.76037029870515,2.99072640748773,6.5,14.6126529446325,13.2610703224673,10
"JohnT.","user",0.776799456936289,0.742140217886828,3.09300285590988,9.5,13.9725151614744,12.30522090502,10
"Firing Squad","critic",0.772576922222123,0.760553211498047,1.63734818866028,8.2,12.9468773023531,11.9460373066716,11
"Sean","user",0.767489877923282,-0.285266547260703,1.3984117975602,9,13.7259483374551,11.6679359866944,10
"SteveC.","user",0.762832391074924,0.710055281738083,2.21359436211787,8,12.7507772639672,11.2026968757449,10
"BrockJ.","user",0.761660366487474,0.605032741951905,1.95505043981536,9,14.7197291134624,12.879384398256,10
"XGP Gaming","critic",0.753092337397201,0.791553609246639,0.714004870897268,8.4,12.8345950752988,11.8487595037539,29
